generic_name,category
DEMECLOCYCLINE HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DENOSUMAB,Oncology & Immunology
DESIPRAMINE HCL,"Neurology, Psychiatry & Pain"
DESLORATADINE,Respiratory & Allergy
DESLORATADINE/PSEUDOEPHEDRINE,Respiratory & Allergy
DESMOPRESSIN (NONREFRIGERATED),"Endocrine, Metabolic & Hormonal"
DESMOPRESSIN ACETATE,"Endocrine, Metabolic & Hormonal"
DESOG-E.ESTRADIOL/E.ESTRADIOL,"Endocrine, Metabolic & Hormonal"
DESOGESTREL-ETHINYL ESTRADIOL,"Endocrine, Metabolic & Hormonal"
DESONIDE,Dermatology (Topical)
DESOXIMETASONE,Dermatology (Topical)
DESVENLAFAXINE,"Neurology, Psychiatry & Pain"
DESVENLAFAXINE SUCCINATE,"Neurology, Psychiatry & Pain"
DEUTETRABENAZINE,"Neurology, Psychiatry & Pain"
DEXAMETHASONE,"Endocrine, Metabolic & Hormonal"
DEXAMETHASONE SOD PHOSPHATE,"Endocrine, Metabolic & Hormonal"
DEXAMETHASONE SODIUM PHOSP/PF,"Endocrine, Metabolic & Hormonal"
DEXLANSOPRAZOLE,Gastrointestinal & Genitourinary
DEXMETHYLPHENIDATE HCL,"Neurology, Psychiatry & Pain"
DEXTROAMPHETAMINE SULFATE,"Neurology, Psychiatry & Pain"
DEXTROAMPHETAMINE/AMPHETAMINE,"Neurology, Psychiatry & Pain"
DEXTROMETHORPHAN HBR/QUINIDINE,Cardiovascular & Blood
DEXTROSE 10 % IN WATER,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 20 % IN WATER,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 5 % AND 0.9 % NACL,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 5 % IN WATER,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 5 %-0.2 % SOD CHLORID,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 5 %-0.45 % SOD CHLORD,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 5%-LACTATED RINGERS,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 50 % IN WATER,"Nutrition, Fluids, Electrolytes & Supplies"
DEXTROSE 70 % IN WATER,"Nutrition, Fluids, Electrolytes & Supplies"
DIAZEPAM,"Neurology, Psychiatry & Pain"
DIAZOXIDE,Cardiovascular & Blood
DICHLORPHENAMIDE,"Neurology, Psychiatry & Pain"
DICLOFENAC EPOLAMINE,"Nutrition, Fluids, Electrolytes & Supplies"
DICLOFENAC POTASSIUM,"Nutrition, Fluids, Electrolytes & Supplies"
DICLOFENAC SODIUM,"Nutrition, Fluids, Electrolytes & Supplies"
DICLOFENAC SODIUM/MISOPROSTOL,Gastrointestinal & Genitourinary
DICLOFENAC SUBMICRONIZED,"Nutrition, Fluids, Electrolytes & Supplies"
DICLOXACILLIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DICYCLOMINE HCL,Gastrointestinal & Genitourinary
DIDANOSINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DIFLORASONE DIACETATE,Dermatology (Topical)
DIFLORASONE DIACETATE/EMOLL,Dermatology (Topical)
DIFLUNISAL,"Nutrition, Fluids, Electrolytes & Supplies"
DIFLUPREDNATE,"Nutrition, Fluids, Electrolytes & Supplies"
DIGOXIN,Cardiovascular & Blood
DIHYDROERGOTAMINE MESYLATE,"Neurology, Psychiatry & Pain"
DILTIAZEM HCL,"Nutrition, Fluids, Electrolytes & Supplies"
DIMENHYDRINATE,Respiratory & Allergy
DIMETHYL FUMARATE,"Neurology, Psychiatry & Pain"
DIMETHYL SULFOXIDE,"Nutrition, Fluids, Electrolytes & Supplies"
"DIPH,PERTUS(ACEL),TET,POLIO/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"DIPH,PERTUSS(ACELL),TET PED/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"DIPH,PERTUSS(ACELL),TET VAC/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DIPHENHYDRAMINE HCL,Respiratory & Allergy
DIPHENOXYLATE HCL/ATROPINE,Gastrointestinal & Genitourinary
"DIPHT,PERT(A),TET-POLIO/HIB/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"DIPHTH,PERTUSS(ACELL),TET VAC",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DIPYRIDAMOLE,Cardiovascular & Blood
DISOPYRAMIDE PHOSPHATE,Cardiovascular & Blood
DISULFIRAM,"Neurology, Psychiatry & Pain"
DIVALPROEX SODIUM,"Neurology, Psychiatry & Pain"
DOBUTAMINE HCL,Cardiovascular & Blood
DOBUTAMINE HCL IN DEXTROSE 5 %,Cardiovascular & Blood
DOCETAXEL,Oncology & Immunology
DOFETILIDE,Cardiovascular & Blood
DOLASETRON MESYLATE,Gastrointestinal & Genitourinary
DOLUTEGRAVIR SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DOLUTEGRAVIR/RILPIVIRINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DONEPEZIL HCL,"Neurology, Psychiatry & Pain"
DOPAMINE HCL,Cardiovascular & Blood
DORIPENEM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DORNASE ALFA,Respiratory & Allergy
DORZOLAMIDE HCL,Ophthalmic & Otic
DORZOLAMIDE HCL/TIMOLOL MALEAT,Ophthalmic & Otic
DORZOLAMIDE/TIMOLOL/PF,Ophthalmic & Otic
DOXAZOSIN MESYLATE,Gastrointestinal & Genitourinary
DOXEPIN HCL,"Neurology, Psychiatry & Pain"
DOXERCALCIFEROL,"Endocrine, Metabolic & Hormonal"
DOXORUBICIN HCL,Oncology & Immunology
DOXORUBICIN HCL PEG-LIPOSOMAL,Oncology & Immunology
DOXYCYCLINE CALCIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DOXYCYCLINE HYCLATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DOXYCYCLINE MONOHYDRATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
DRONABINOL,"Neurology, Psychiatry & Pain"
DRONEDARONE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
DROSPIR/ETH ESTRA/LEVOMEFOL CA,"Nutrition, Fluids, Electrolytes & Supplies"
DROSPIRENONE/ESTRADIOL,"Endocrine, Metabolic & Hormonal"
DROXIDOPA,Cardiovascular & Blood
DULAGLUTIDE,"Endocrine, Metabolic & Hormonal"
DULOXETINE HCL,"Neurology, Psychiatry & Pain"
DUPILUMAB,Oncology & Immunology
DURVALUMAB,Oncology & Immunology
DUTASTERIDE,Gastrointestinal & Genitourinary
DUTASTERIDE/TAMSULOSIN HCL,Gastrointestinal & Genitourinary
ECALLANTIDE,"Nutrition, Fluids, Electrolytes & Supplies"
ECHOTHIOPHATE IODIDE,Ophthalmic & Otic
ECONAZOLE NITRATE,Dermatology (Topical)
ECULIZUMAB,Oncology & Immunology
EDARAVONE,"Neurology, Psychiatry & Pain"
EDOXABAN TOSYLATE,Cardiovascular & Blood
EFAVIRENZ,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EFAVIRENZ/EMTRICIT/TENOFOVR DF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EFINACONAZOLE,Dermatology (Topical)
ELBASVIR/GRAZOPREVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ELECTROLYTE-A SOLUTION,"Nutrition, Fluids, Electrolytes & Supplies"
ELECTROLYTE-R (PH 7.4),"Nutrition, Fluids, Electrolytes & Supplies"
ELETRIPTAN HBR,"Neurology, Psychiatry & Pain"
ELIGLUSTAT TARTRATE,"Endocrine, Metabolic & Hormonal"
ELOSULFASE ALFA,"Endocrine, Metabolic & Hormonal"
ELOTUZUMAB,Oncology & Immunology
ELTROMBOPAG OLAMINE,Oncology & Immunology
ELUXADOLINE,Gastrointestinal & Genitourinary
ELVITEG/COB/EMTRI/TENOF ALAFEN,"Nutrition, Fluids, Electrolytes & Supplies"
ELVITEG/COB/EMTRI/TENOFO DISOP,"Nutrition, Fluids, Electrolytes & Supplies"
ELVITEGRAVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EMEDASTINE DIFUMARATE,Ophthalmic & Otic
EMPAGLIFLOZIN,"Endocrine, Metabolic & Hormonal"
EMPAGLIFLOZIN/LINAGLIPTIN,"Endocrine, Metabolic & Hormonal"
EMPAGLIFLOZIN/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
EMTRICITA/RILPIVIRINE/TENOF DF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EMTRICITAB/RILPIVIRI/TENOF ALA,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EMTRICITABINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EMTRICITABINE/TENOFOV ALAFENAM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EMTRICITABINE/TENOFOVIR (TDF),Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ENALAPRIL MALEATE,Cardiovascular & Blood
ENALAPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
ENASIDENIB MESYLATE,"Nutrition, Fluids, Electrolytes & Supplies"
ENFUVIRTIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ENOXAPARIN SODIUM,Cardiovascular & Blood
ENTACAPONE,"Neurology, Psychiatry & Pain"
ENTECAVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ENZALUTAMIDE,Oncology & Immunology
EPINASTINE HCL,Ophthalmic & Otic
EPINEPHRINE,Cardiovascular & Blood
EPIRUBICIN HCL,Oncology & Immunology
EPLERENONE,Cardiovascular & Blood
EPOETIN ALFA,Oncology & Immunology
EPOPROSTENOL SODIUM (ARGININE),Cardiovascular & Blood
EPOPROSTENOL SODIUM (GLYCINE),Cardiovascular & Blood
EPROSARTAN MESYLATE,Cardiovascular & Blood
ERGOCALCIFEROL (VITAMIN D2),"Endocrine, Metabolic & Hormonal"
ERGOLOID MESYLATES,"Nutrition, Fluids, Electrolytes & Supplies"
ERGOTAMINE TARTRATE,"Neurology, Psychiatry & Pain"
ERGOTAMINE TARTRATE/CAFFEINE,"Neurology, Psychiatry & Pain"
ERIBULIN MESYLATE,Oncology & Immunology
ERLOTINIB HCL,Oncology & Immunology
ERTAPENEM SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ERYTHROMYCIN BASE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ERYTHROMYCIN BASE/ETHANOL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ERYTHROMYCIN ETHYLSUCCINATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ERYTHROMYCIN LACTOBIONATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ERYTHROMYCIN STEARATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ERYTHROMYCIN/BENZOYL PEROXIDE,Dermatology (Topical)
ESCITALOPRAM OXALATE,"Neurology, Psychiatry & Pain"
ESLICARBAZEPINE ACETATE,"Neurology, Psychiatry & Pain"
ESOMEPRAZOLE MAGNESIUM,Gastrointestinal & Genitourinary
ESOMEPRAZOLE SODIUM,Gastrointestinal & Genitourinary
ESTAZOLAM,"Neurology, Psychiatry & Pain"
ESTRADIOL,"Endocrine, Metabolic & Hormonal"
ESTRADIOL ACETATE,"Endocrine, Metabolic & Hormonal"
ESTRADIOL CYPIONATE,"Endocrine, Metabolic & Hormonal"
ESTRADIOL VALERATE,Dermatology (Topical)
ESTRADIOL VALERATE/DIENOGEST,Dermatology (Topical)
ESTRADIOL/LEVONORGESTREL,"Endocrine, Metabolic & Hormonal"
ESTRADIOL/NORETHINDRONE ACET,"Endocrine, Metabolic & Hormonal"
ESTRADIOL/NORGESTIMATE,"Endocrine, Metabolic & Hormonal"
ESTRAMUSTINE PHOSPHATE SODIUM,Oncology & Immunology
"ESTROGEN,CON/M-PROGEST ACET","Endocrine, Metabolic & Hormonal"
"ESTROGENS, CONJUGATED","Endocrine, Metabolic & Hormonal"
"ESTROGENS,CONJ.,SYNTHETIC B","Endocrine, Metabolic & Hormonal"
"ESTROGENS,CONJ/BAZEDOXIFENE","Endocrine, Metabolic & Hormonal"
"ESTROGENS,ESTERIFIED","Endocrine, Metabolic & Hormonal"
ESTROPIPATE,"Endocrine, Metabolic & Hormonal"
ESZOPICLONE,"Neurology, Psychiatry & Pain"
ETANERCEPT,"Nutrition, Fluids, Electrolytes & Supplies"
ETEPLIRSEN,"Nutrition, Fluids, Electrolytes & Supplies"
ETHACRYNIC ACID,Cardiovascular & Blood
ETHAMBUTOL HCL,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ETHINYL ESTRADIOL/DROSPIRENONE,"Endocrine, Metabolic & Hormonal"
ETHIONAMIDE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
ETHOSUXIMIDE,"Neurology, Psychiatry & Pain"
ETHOTOIN,"Nutrition, Fluids, Electrolytes & Supplies"
ETHYNODIOL D-ETHINYL ESTRADIOL,"Endocrine, Metabolic & Hormonal"
ETIDRONATE DISODIUM,"Endocrine, Metabolic & Hormonal"
ETODOLAC,"Nutrition, Fluids, Electrolytes & Supplies"
ETONOGESTREL,"Endocrine, Metabolic & Hormonal"
ETONOGESTREL/ETHINYL ESTRADIOL,"Endocrine, Metabolic & Hormonal"
ETOPOSIDE,Oncology & Immunology
ETRAVIRINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
EVEROLIMUS,Oncology & Immunology
EVOLOCUMAB,Oncology & Immunology
EXEMESTANE,Oncology & Immunology
EXENATIDE,"Endocrine, Metabolic & Hormonal"
EXENATIDE MICROSPHERES,"Endocrine, Metabolic & Hormonal"
EZETIMIBE,"Endocrine, Metabolic & Hormonal"
EZETIMIBE/SIMVASTATIN,Cardiovascular & Blood
EZOGABINE,"Neurology, Psychiatry & Pain"
FAMCICLOVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
FAMOTIDINE,Gastrointestinal & Genitourinary
"FAMOTIDINE IN NACL,ISO-OSM/PF",Gastrointestinal & Genitourinary
FAMOTIDINE/PF,Gastrointestinal & Genitourinary
FAT EMUL/SOY/MCT/OLIV/FISH OIL,"Nutrition, Fluids, Electrolytes & Supplies"
FAT EMULSIONS,"Nutrition, Fluids, Electrolytes & Supplies"
FEBUXOSTAT,"Endocrine, Metabolic & Hormonal"
FELBAMATE,"Neurology, Psychiatry & Pain"
FELODIPINE,Cardiovascular & Blood
FENOFIBRATE,"Endocrine, Metabolic & Hormonal"
FENOFIBRATE NANOCRYSTALLIZED,"Endocrine, Metabolic & Hormonal"
"FENOFIBRATE,MICRONIZED","Endocrine, Metabolic & Hormonal"
FENOFIBRIC ACID,"Endocrine, Metabolic & Hormonal"
FENOFIBRIC ACID (CHOLINE),"Endocrine, Metabolic & Hormonal"
FENOPROFEN CALCIUM,"Nutrition, Fluids, Electrolytes & Supplies"
FENTANYL,"Neurology, Psychiatry & Pain"
FENTANYL CITRATE,"Neurology, Psychiatry & Pain"
FENTANYL CITRATE/PF,"Neurology, Psychiatry & Pain"
FERRIC CITRATE,"Endocrine, Metabolic & Hormonal"
FESOTERODINE FUMARATE,Gastrointestinal & Genitourinary
FEXOFENADINE HCL,Respiratory & Allergy
FIBRINOGEN,"Nutrition, Fluids, Electrolytes & Supplies"
FIDAXOMICIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
FILGRASTIM,Oncology & Immunology
FILGRASTIM-SNDZ,Oncology & Immunology
FINASTERIDE,Gastrointestinal & Genitourinary
FINGOLIMOD HCL,"Neurology, Psychiatry & Pain"
FLAVOXATE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
FLECAINIDE ACETATE,Cardiovascular & Blood
FLOXURIDINE,Oncology & Immunology
FLUCONAZOLE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"FLUCONAZOLE IN DEXTROSE,ISO-OS",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"FLUCONAZOLE IN NACL,ISO-OSM",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
FLUCYTOSINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
FLUDARABINE PHOSPHATE,Oncology & Immunology
FLUDROCORTISONE ACETATE,"Endocrine, Metabolic & Hormonal"
FLUMAZENIL,"Neurology, Psychiatry & Pain"
FLUNISOLIDE,Respiratory & Allergy
FLUOCINOLONE ACETONIDE,Dermatology (Topical)
FLUOCINOLONE ACETONIDE OIL,Dermatology (Topical)
FLUOCINOLONE/SHOWER CAP,Dermatology (Topical)
FLUOCINONIDE,Dermatology (Topical)
FLUOCINONIDE/EMOLLIENT BASE,Dermatology (Topical)
FLUORIDE (SODIUM),"Nutrition, Fluids, Electrolytes & Supplies"
FLUOROMETHOLONE,Ophthalmic & Otic
FLUOROMETHOLONE ACETATE,Ophthalmic & Otic
FLUOROURACIL,Oncology & Immunology
FLUOXETINE HCL,"Neurology, Psychiatry & Pain"
FLUOXYMESTERONE,"Endocrine, Metabolic & Hormonal"
FLUPHENAZINE DECANOATE,"Neurology, Psychiatry & Pain"
FLUPHENAZINE HCL,"Neurology, Psychiatry & Pain"
FLURANDRENOLIDE,Dermatology (Topical)
FLURAZEPAM HCL,"Neurology, Psychiatry & Pain"
FLURBIPROFEN,"Nutrition, Fluids, Electrolytes & Supplies"
FLURBIPROFEN SODIUM,"Nutrition, Fluids, Electrolytes & Supplies"
FLUTAMIDE,Oncology & Immunology
FLUTICASONE FUROATE,Respiratory & Allergy
FLUTICASONE PROPIONATE,Respiratory & Allergy
FLUTICASONE/SALMETEROL,Respiratory & Allergy
FLUTICASONE/UMECLIDIN/VILANTER,Respiratory & Allergy
FLUTICASONE/VILANTEROL,Respiratory & Allergy
FLUVASTATIN SODIUM,Cardiovascular & Blood
FLUVOXAMINE MALEATE,"Neurology, Psychiatry & Pain"
FOLIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
FOLIC ACID/B CPLX/C/SELEN/ZINC,"Nutrition, Fluids, Electrolytes & Supplies"
FOLIC ACID/VIT B COMPLEX AND C,"Nutrition, Fluids, Electrolytes & Supplies"
FONDAPARINUX SODIUM,Cardiovascular & Blood
FORMOTEROL FUMARATE,Respiratory & Allergy
FOSAMPRENAVIR CALCIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
FOSAPREPITANT DIMEGLUMINE,Gastrointestinal & Genitourinary
FOSFOMYCIN TROMETHAMINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
FOSINOPRIL SODIUM,Cardiovascular & Blood
FOSINOPRIL/HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
FOSPHENYTOIN SODIUM,"Neurology, Psychiatry & Pain"
FROVATRIPTAN SUCCINATE,"Neurology, Psychiatry & Pain"
FULVESTRANT,Oncology & Immunology
FUROSEMIDE,Cardiovascular & Blood
GABAPENTIN,"Neurology, Psychiatry & Pain"
GABAPENTIN ENACARBIL,"Neurology, Psychiatry & Pain"
GALANTAMINE HBR,"Neurology, Psychiatry & Pain"
GALSULFASE,"Endocrine, Metabolic & Hormonal"
GANCICLOVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
GANCICLOVIR SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
GATIFLOXACIN,Ophthalmic & Otic
GAUZE BANDAGE,"Nutrition, Fluids, Electrolytes & Supplies"
GEFITINIB,Oncology & Immunology
GEMCITABINE HCL,Oncology & Immunology
GEMFIBROZIL,"Endocrine, Metabolic & Hormonal"
"GENTAMICIN IN NACL, ISO-OSM",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
GENTAMICIN SULF/PREDNISOLONE,Ophthalmic & Otic
GENTAMICIN SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
GENTAMICIN SULFATE/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
GLATIRAMER ACETATE,Oncology & Immunology
GLECAPREVIR/PIBRENTASVIR,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
GLIMEPIRIDE,"Endocrine, Metabolic & Hormonal"
GLIPIZIDE,"Endocrine, Metabolic & Hormonal"
GLIPIZIDE/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
GLUCAGON HCL,"Endocrine, Metabolic & Hormonal"
"GLUCAGON,HUMAN RECOMBINANT","Endocrine, Metabolic & Hormonal"
GLYBURIDE,"Endocrine, Metabolic & Hormonal"
"GLYBURIDE,MICRONIZED","Endocrine, Metabolic & Hormonal"
GLYBURIDE/METFORMIN HCL,"Endocrine, Metabolic & Hormonal"
GLYCEROL PHENYLBUTYRATE,Dermatology (Topical)
GLYCOPYRROLATE,Gastrointestinal & Genitourinary
GLYCOPYRROLATE/FORMOTEROL FUM,Respiratory & Allergy
GOLIMUMAB,Oncology & Immunology
GOSERELIN ACETATE,Oncology & Immunology
GR POL-ORC/SW VER/RYE/KENT/TIM,"Nutrition, Fluids, Electrolytes & Supplies"
GRANISETRON,Gastrointestinal & Genitourinary
GRANISETRON HCL,Gastrointestinal & Genitourinary
GRANISETRON HCL/PF,Gastrointestinal & Genitourinary
"GRASS POLLEN-TIMOTHY, STANDARD","Nutrition, Fluids, Electrolytes & Supplies"
GRISEOFULVIN ULTRAMICROSIZE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"GRISEOFULVIN, MICROSIZE",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
GUANFACINE HCL,"Neurology, Psychiatry & Pain"
GUANIDINE HCL,"Nutrition, Fluids, Electrolytes & Supplies"
GUSELKUMAB,Oncology & Immunology
HAEMOPH B POLY CONJ-TET TOX/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HAEMPH B POLYSAC CONJ-MENIN/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HALCINONIDE,Dermatology (Topical)
HALOBETASOL PROPIONATE,Dermatology (Topical)
HALOPERIDOL,"Neurology, Psychiatry & Pain"
HALOPERIDOL DECANOATE,"Neurology, Psychiatry & Pain"
HALOPERIDOL LACTATE,"Neurology, Psychiatry & Pain"
HEP B VACCINE/DP(A)T-POLIO/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"HEPARIN SOD,PORK IN 0.45% NACL",Cardiovascular & Blood
"HEPARIN SODIUM,PORCINE",Cardiovascular & Blood
"HEPARIN SODIUM,PORCINE/D5W",Cardiovascular & Blood
"HEPARIN SODIUM,PORCINE/PF",Cardiovascular & Blood
HEPATITIS A AND B VACCINE/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HEPATITIS A VIRUS VACCINE/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HEPATITIS B IMMUN GLOB/MALTOSE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HEPATITIS B IMMUNE GLOBULIN,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HEPATITIS B VIRUS VACCINE/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HISTRELIN ACETATE,Oncology & Immunology
HOMATROPINE HBR,"Nutrition, Fluids, Electrolytes & Supplies"
HPV VACCINE 9-VALENT/PF,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
"HUMAN PAPILOMVIRUS VAC,QVAL/PF",Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HYDRALAZINE HCL,Cardiovascular & Blood
HYDROCHLOROTHIAZIDE,Cardiovascular & Blood
HYDROCODONE BIT/HOMATROP ME-BR,"Neurology, Psychiatry & Pain"
HYDROCODONE BITARTRATE,"Neurology, Psychiatry & Pain"
HYDROCODONE/ACETAMINOPHEN,"Neurology, Psychiatry & Pain"
HYDROCODONE/CHLORPHEN P-STIREX,"Neurology, Psychiatry & Pain"
HYDROCODONE/IBUPROFEN,"Neurology, Psychiatry & Pain"
"HYDROCORT/MIN OIL/PETROLAT,WHT","Nutrition, Fluids, Electrolytes & Supplies"
HYDROCORTISONE,"Nutrition, Fluids, Electrolytes & Supplies"
HYDROCORTISONE ACETATE,"Endocrine, Metabolic & Hormonal"
HYDROCORTISONE BUTYRATE,Dermatology (Topical)
HYDROCORTISONE BUTYRATE/EMOLL,Dermatology (Topical)
HYDROCORTISONE PROBUTATE,"Endocrine, Metabolic & Hormonal"
HYDROCORTISONE SOD SUCCINATE,"Endocrine, Metabolic & Hormonal"
HYDROCORTISONE SODIUM SUCC/PF,"Endocrine, Metabolic & Hormonal"
HYDROCORTISONE VALERATE,Dermatology (Topical)
HYDROCORTISONE/ACETIC ACID,"Nutrition, Fluids, Electrolytes & Supplies"
HYDROCORTISONE/PRAMOXINE,"Nutrition, Fluids, Electrolytes & Supplies"
HYDROMORPHONE HCL,"Neurology, Psychiatry & Pain"
HYDROMORPHONE HCL/PF,"Neurology, Psychiatry & Pain"
HYDROXYCHLOROQUINE SULFATE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
HYDROXYPROGESTERONE CAPROAT/PF,"Endocrine, Metabolic & Hormonal"
HYDROXYPROGESTERONE CAPROATE,"Endocrine, Metabolic & Hormonal"
HYDROXYPROPYL CELLULOSE,"Nutrition, Fluids, Electrolytes & Supplies"
HYDROXYUREA,Oncology & Immunology
HYDROXYZINE HCL,Respiratory & Allergy
HYDROXYZINE PAMOATE,Respiratory & Allergy
HYOSCYAMINE SULFATE,Gastrointestinal & Genitourinary
IBANDRONATE SODIUM,"Endocrine, Metabolic & Hormonal"
IBRUTINIB,Oncology & Immunology
IBUPROFEN,"Nutrition, Fluids, Electrolytes & Supplies"
IBUPROFEN/FAMOTIDINE,Gastrointestinal & Genitourinary
IBUPROFEN/OXYCODONE HCL,"Neurology, Psychiatry & Pain"
ICATIBANT ACETATE,"Nutrition, Fluids, Electrolytes & Supplies"
ICOSAPENT ETHYL,"Endocrine, Metabolic & Hormonal"
IDELALISIB,"Nutrition, Fluids, Electrolytes & Supplies"
IDURSULFASE,"Endocrine, Metabolic & Hormonal"
IFOSFAMIDE,Oncology & Immunology
"IGG/HYALURONIDASE,RECOMBINANT","Nutrition, Fluids, Electrolytes & Supplies"
ILOPERIDONE,"Neurology, Psychiatry & Pain"
ILOPROST TROMETHAMINE,Cardiovascular & Blood
IMATINIB MESYLATE,Oncology & Immunology
IMIGLUCERASE,"Endocrine, Metabolic & Hormonal"
IMIPENEM/CILASTATIN SODIUM,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMIPRAMINE HCL,"Neurology, Psychiatry & Pain"
IMIPRAMINE PAMOATE,"Neurology, Psychiatry & Pain"
IMIQUIMOD,Dermatology (Topical)
IMM GLOB G (IGG)/SORB/IGA 0-50,"Nutrition, Fluids, Electrolytes & Supplies"
IMMUN GLOB G(IGG)/GLY/IGA 0-50,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUN GLOB G(IGG)/GLY/IGA OV50,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUN GLOB G(IGG)/PRO/IGA 0-50,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUN GLOB G/GLY/GLUC/IGA 0-50,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUN GLOB G/SORB/GLY/IGA 0-50,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUN GLOBG(IGG)/MALT/IGA OV50,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUN GLOBG(IGG)/SUCR/IGA OV50,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUNE GLOBUL G (IGG)/GLYCINE,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
IMMUNE GLOBUL G/GLY/IGA AVG 46,Infectious Disease (Antimicrobial/Antiviral/Vaccine)
